Date;Time;corImpulses;Distance;AccuDist
2.11.2015;16:11:55;1;0.785;0.785
1.12.2015;23:14:49;0;0.785;1.57
2.12.2015;15:22:15;1;0.785;2.355
2.12.2015;17:46:02;0;0.785;3.14
3.12.2015;16:38:03;1;0.785;3.925
5.12.2015;20:00:57;0;0.785;4.71
14.12.2015;19:48:18;1;0.785;5.495
17.12.2015;16:54:34;0;0.785;6.28
18.1.2016;22:27:26;1;0.785;7.065
27.1.2016;04:59:28;0;0.785;7.85
29.1.2016;12:27:14;1;0.785;8.635
30.1.2016;07:51:59;0;0.785;9.42
31.1.2016;01:47:10;1;0.785;10.205
31.1.2016;18:53:50;0;0.785;10.99
1.2.2016;11:40:22;1;0.785;11.775
1.2.2016;16:59:26;0;0.785;12.56
2.2.2016;03:48:04;1;0.785;13.345
2.2.2016;12:56:21;0;0.785;14.13
3.2.2016;02:34:02;1;0.785;14.915
